Code_Postal;Province
1967;Brabant flamand
1968;Brabant flamand
1969;Brabant flamand
1970;Brabant flamand
1971;Brabant flamand
1972;Brabant flamand
1973;Brabant flamand
1974;Brabant flamand
1975;Brabant flamand
1976;Brabant flamand
1977;Brabant flamand
1978;Brabant flamand
1979;Brabant flamand
1980;Brabant flamand
1981;Brabant flamand
1982;Brabant flamand
1983;Brabant flamand
1984;Brabant flamand
1985;Brabant flamand
1986;Brabant flamand
1987;Brabant flamand
1988;Brabant flamand
1989;Brabant flamand
1990;Brabant flamand
1991;Brabant flamand
1992;Brabant flamand
1993;Brabant flamand
1994;Brabant flamand
1995;Brabant flamand
1996;Brabant flamand
1997;Brabant flamand
1998;Brabant flamand
1999;Brabant flamand
2000;Anvers
2001;Anvers
2002;Anvers
2003;Anvers
2004;Anvers
2005;Anvers
2006;Anvers
2007;Anvers
2008;Anvers
2009;Anvers
2010;Anvers
2011;Anvers
2012;Anvers
2013;Anvers
2014;Anvers
2015;Anvers
2016;Anvers
2017;Anvers
2018;Anvers
2019;Anvers
2020;Anvers
2021;Anvers
2022;Anvers
2023;Anvers
2024;Anvers
2025;Anvers
2026;Anvers
2027;Anvers
2028;Anvers
2029;Anvers
2030;Anvers
2031;Anvers
2032;Anvers
2033;Anvers
2034;Anvers
2035;Anvers
2036;Anvers
2037;Anvers
2038;Anvers
2039;Anvers
2040;Anvers
2041;Anvers
2042;Anvers
2043;Anvers
2044;Anvers
2045;Anvers
2046;Anvers
2047;Anvers
2048;Anvers
2049;Anvers
2050;Anvers
2051;Anvers
2052;Anvers
2053;Anvers
2054;Anvers
2055;Anvers
2056;Anvers
2057;Anvers
2058;Anvers
2059;Anvers
2060;Anvers
2061;Anvers
2062;Anvers
2063;Anvers
2064;Anvers
2065;Anvers
2066;Anvers
2067;Anvers
2068;Anvers
2069;Anvers
2070;Anvers
2071;Anvers
2072;Anvers
2073;Anvers
2074;Anvers
2075;Anvers
2076;Anvers
2077;Anvers
2078;Anvers
2079;Anvers
2080;Anvers
2081;Anvers
2082;Anvers
2083;Anvers
2084;Anvers
2085;Anvers
2086;Anvers
2087;Anvers
2088;Anvers
2089;Anvers
2090;Anvers
2091;Anvers
2092;Anvers
2093;Anvers
2094;Anvers
2095;Anvers
2096;Anvers
2097;Anvers
2098;Anvers
2099;Anvers
2100;Anvers
2101;Anvers
2102;Anvers
2103;Anvers
2104;Anvers
2105;Anvers
2106;Anvers
2107;Anvers
2108;Anvers
2109;Anvers
2110;Anvers
2111;Anvers
2112;Anvers
2113;Anvers
2114;Anvers
2115;Anvers
2116;Anvers
2117;Anvers
2118;Anvers
2119;Anvers
2120;Anvers
2121;Anvers
2122;Anvers
2123;Anvers
2124;Anvers
2125;Anvers
2126;Anvers
2127;Anvers
2128;Anvers
2129;Anvers
2130;Anvers
2131;Anvers
2132;Anvers
2133;Anvers
2134;Anvers
2135;Anvers
2136;Anvers
2137;Anvers
2138;Anvers
2139;Anvers
2140;Anvers
2141;Anvers
2142;Anvers
2143;Anvers
2144;Anvers
2145;Anvers
2146;Anvers
2147;Anvers
2148;Anvers
2149;Anvers
2150;Anvers
2151;Anvers
2152;Anvers
2153;Anvers
2154;Anvers
2155;Anvers
2156;Anvers
2157;Anvers
2158;Anvers
2159;Anvers
2160;Anvers
2161;Anvers
2162;Anvers
